dataset,subject,trial,5.0->4.0,4.0->3.33,3.33->3.0,3.0->2.78
vanhooren,Sub_01,0.0,0.009024693948612938,0.007725484805863769,0.0071919853383326515,0.019051695925046852
vanhooren,Sub_02,0.0,0.017086906487812525,0.030211491433596027,0.01753086554606642,0.025575164980386145
vanhooren,Sub_03,0.0,0.008355699984596177,0.07861846653826965,0.0961915223341192,0.01821595078584859
vanhooren,Sub_04,0.0,0.01595723719594666,0.013160811793669458,0.014188030626439807,0.00032527200605914075
vanhooren,Sub_05,0.0,0.005243815723923406,0.017832371937444247,0.034258167226299374,0.037422905427777375
vanhooren,Sub_06,0.0,0.007077022363320973,0.021990026625706927,0.019969841165369262,0.0030224669165409557
vanhooren,Sub_08,0.0,0.01885012898580163,0.006998671762103226,0.006565862150889501,0.014864200110028758
vanhooren,Sub_09,0.0,0.014369788952472762,0.0001803369578735614,0.0,0.0009261691474141687
vanhooren,Sub_10,0.0,0.026470838654345963,0.04314851082015814,0.04902327115925198,0.025794410831134096
vanhooren,Sub_11,0.0,0.005639062605365508,0.00012937433679671706,0.00422560344531564,0.00011213940963927804
vanhooren,Sub_13,0.0,0.011829192142692957,0.021590879931408402,0.08314720640245521,0.08701530391447077
vanhooren,Sub_14,0.0,0.018499232426572254,0.007488166263689533,0.13069720930503814,0.00542803187136931
vanhooren,Sub_15,0.0,0.01203684274112371,0.008399979608010977,0.02953643801284067,0.008206315222923699
vanhooren,Sub_16,0.0,0.008129610986168045,0.019710077802846726,0.05499389916323827,0.020182761578704023
vanhooren,Sub_17,0.0,0.007938919790462795,0.025797115173477603,0.008828763881155166,0.0024143880397629047
vanhooren,Sub_18,0.0,0.00996172758204017,0.022107446041689238,0.00974393807811802,0.002264751265004805
vanhooren,Sub_19,0.0,0.04562533742575625,0.007097603551011078,0.07760442126511224,0.0002708110945162101
